timestamp,acceleration
21-48-24.725299,-2972
21-48-24.780968,-2800
21-48-24.836819,-2708
21-48-24.892310,-2992
21-48-24.947795,-2720
21-48-25.003226,-2804
21-48-25.058679,-2664
21-48-25.114087,-2688
21-48-25.169510,-2860
21-48-25.224920,-2780
21-48-25.280379,-2792
21-48-25.335826,-2796
21-48-25.391238,-2776
21-48-25.446648,-2856
21-48-25.502050,-2832
21-48-25.557450,-2684
21-48-25.612851,-2880
21-48-25.668260,-2752
21-48-25.723663,-2656
21-48-25.779164,-2660
21-48-25.834977,-2648
21-48-25.890473,-2992
21-48-25.945908,-2640
21-48-26.001315,-2728
21-48-26.056731,-2952
21-48-26.112189,-2736
21-48-26.167777,-2696
21-48-26.223254,-2660
21-48-26.278686,-2412
21-48-26.334091,-2736
21-48-26.389513,-2676
21-48-26.444915,-2636
21-48-26.500362,-2672
21-48-26.555771,-3000
21-48-26.611183,-2668
21-48-26.666586,-2660
21-48-26.721998,-2812
