timestamp,acceleration
21-39-23.115065,-2816
21-39-23.170642,-2736
21-39-23.226177,-2640
21-39-23.281780,-2704
21-39-23.337223,-2692
21-39-23.392713,-2720
21-39-23.448301,-2736
21-39-23.503877,-2796
21-39-23.559310,-2800
21-39-23.614803,-2808
21-39-23.670358,-2984
21-39-23.725826,-2784
21-39-23.781335,-2700
21-39-23.837001,-2588
21-39-23.892440,-2792
21-39-23.947880,-2876
21-39-24.003316,-2644
21-39-24.058731,-2712
21-39-24.114153,-2816
21-39-24.169688,-2784
21-39-24.225270,-2588
21-39-24.280729,-2796
21-39-24.336167,-2804
21-39-24.391633,-2620
21-39-24.447119,-2684
21-39-24.502569,-3020
21-39-24.558002,-2680
21-39-24.613427,-3048
21-39-24.668844,-2752
21-39-24.724263,-2780
21-39-24.779818,-2776
21-39-24.835555,-2948
21-39-24.891011,-2508
21-39-24.946448,-2832
21-39-25.001882,-2840
21-39-25.057294,-2396
21-39-25.112719,-2656
