timestamp,acceleration
21-37-58.120539,-2812
21-37-58.176160,-2880
21-37-58.231779,-2780
21-37-58.287244,-2760
21-37-58.342725,-2664
21-37-58.398160,-2688
21-37-58.453595,-2656
21-37-58.509027,-2792
21-37-58.564455,-2808
21-37-58.619872,-2608
21-37-58.675300,-2760
21-37-58.730724,-2888
21-37-58.786288,-2612
21-37-58.841946,-2792
21-37-58.897499,-2664
21-37-58.952984,-2588
21-37-59.008413,-2308
21-37-59.063840,-2720
21-37-59.119261,-2804
21-37-59.174681,-2568
21-37-59.230111,-2640
21-37-59.285572,-2728
21-37-59.341002,-2708
21-37-59.396463,-2584
21-37-59.451965,-2664
21-37-59.507422,-2768
21-37-59.562963,-2804
21-37-59.618466,-2660
21-37-59.673908,-2660
21-37-59.729324,-2604
21-37-59.784898,-2376
21-37-59.840544,-2684
21-37-59.896027,-2576
21-37-59.951509,-2788
21-38-00.006956,-2672
21-38-00.062559,-2496
21-38-00.118139,-2724
