timestamp,acceleration
21-52-14.884259,-2780
21-52-14.939498,-2712
21-52-14.994672,-2572
21-52-15.049875,-2796
21-52-15.105101,-2620
21-52-15.160233,-2708
21-52-15.215369,-2652
21-52-15.270512,-2872
21-52-15.325637,-2712
21-52-15.380758,-2604
21-52-15.435894,-2692
21-52-15.491036,-2732
21-52-15.546258,-2692
21-52-15.601388,-2692
21-52-15.656516,-2668
21-52-15.711665,-2772
21-52-15.766909,-2596
21-52-15.822237,-2692
21-52-15.877505,-2728
21-52-15.932696,-2784
21-52-15.987821,-2732
21-52-16.042938,-2744
21-52-16.098056,-2660
21-52-16.153174,-2780
21-52-16.208302,-2680
21-52-16.263433,-2708
21-52-16.318580,-2888
21-52-16.373705,-2684
21-52-16.428823,-2780
21-52-16.483940,-2900
21-52-16.539057,-2344
21-52-16.594224,-2768
21-52-16.649518,-2840
21-52-16.704777,-3056
21-52-16.760149,-2752
21-52-16.815476,-3064
21-52-16.870766,-2648
