timestamp,acceleration
21-32-55.880309,-3664
21-32-55.935882,-3612
21-32-55.991478,-3740
21-32-56.046901,-3664
21-32-56.102321,-3492
21-32-56.157719,-3516
21-32-56.213149,-3728
21-32-56.268555,-3648
21-32-56.323958,-3640
21-32-56.379389,-3332
21-32-56.434832,-3604
21-32-56.490240,-3608
21-32-56.545633,-3724
21-32-56.601024,-3552
21-32-56.656404,-3528
21-32-56.711846,-3680
21-32-56.767250,-3604
21-32-56.822878,-3672
21-32-56.878531,-3620
21-32-56.934068,-3620
21-32-56.989481,-3832
21-32-57.044904,-3692
21-32-57.100393,-3384
21-32-57.155871,-3508
21-32-57.211301,-3484
21-32-57.266716,-3408
21-32-57.322140,-3596
21-32-57.377560,-3616
21-32-57.433023,-3420
21-32-57.488449,-3632
21-32-57.543858,-3692
21-32-57.599260,-3712
21-32-57.654652,-3672
21-32-57.710057,-3528
21-32-57.765456,-3536
21-32-57.820928,-3656
21-32-57.876496,-3512
