timestamp,acceleration
21-36-52.830458,-2636
21-36-52.886078,-2560
21-36-52.941717,-2636
21-36-52.997237,-2620
21-36-53.052794,-2500
21-36-53.108288,-2704
21-36-53.163762,-2476
21-36-53.219315,-2672
21-36-53.274977,-2684
21-36-53.330426,-2608
21-36-53.385884,-2684
21-36-53.441340,-2528
21-36-53.496801,-2688
21-36-53.552217,-2696
21-36-53.607630,-2612
21-36-53.663040,-2652
21-36-53.718441,-2704
21-36-53.773988,-2636
21-36-53.829710,-2344
21-36-53.885245,-2644
21-36-53.940737,-2628
21-36-53.996205,-2728
21-36-54.051647,-2760
21-36-54.107069,-2600
21-36-54.162498,-2308
21-36-54.217918,-2728
21-36-54.273349,-2432
21-36-54.328801,-2812
21-36-54.384224,-2616
21-36-54.439645,-2812
21-36-54.495059,-2636
21-36-54.550471,-2528
21-36-54.605890,-2592
21-36-54.661310,-2560
21-36-54.716719,-2328
21-36-54.772255,-2532
21-36-54.828051,-2524
