timestamp,acceleration
21-55-26.888553,-2828
21-55-26.944114,-2792
21-55-26.999564,-2952
21-55-27.054978,-2904
21-55-27.110442,-2736
21-55-27.166058,-2652
21-55-27.221375,-2812
21-55-27.276798,-2972
21-55-27.332250,-2832
21-55-27.387698,-2744
21-55-27.443105,-2824
21-55-27.498521,-3040
21-55-27.553957,-2672
21-55-27.609425,-2616
21-55-27.664834,-2796
21-55-27.720277,-2832
21-55-27.775844,-2612
21-55-27.831527,-2756
21-55-27.887091,-2780
21-55-27.942630,-3004
21-55-27.998007,-2696
21-55-28.053411,-2812
21-55-28.108896,-2596
21-55-28.164493,-2696
21-55-28.219873,-2836
21-55-28.275296,-2804
21-55-28.330709,-2768
21-55-28.386123,-2728
21-55-28.441531,-2732
21-55-28.496968,-2992
21-55-28.552425,-2732
21-55-28.607854,-2792
21-55-28.663259,-2640
21-55-28.718670,-2804
21-55-28.774276,-2868
21-55-28.829961,-2404
21-55-28.885419,-2724
