timestamp,acceleration
21-43-13.655556,-2740
21-43-13.711246,-2704
21-43-13.766967,-2648
21-43-13.822642,-2884
21-43-13.878299,-2760
21-43-13.933840,-2720
21-43-13.989340,-2572
21-43-14.044782,-2744
21-43-14.100230,-2936
21-43-14.155677,-2564
21-43-14.211134,-2772
21-43-14.266596,-2708
21-43-14.322110,-2380
21-43-14.377625,-2792
21-43-14.433074,-2916
21-43-14.488528,-2672
21-43-14.543988,-3048
21-43-14.599433,-2664
21-43-14.655443,-2620
21-43-14.711005,-2672
21-43-14.766562,-2744
21-43-14.822156,-2756
21-43-14.877776,-2812
21-43-14.933270,-2692
21-43-14.988738,-2748
21-43-15.044177,-2764
21-43-15.099623,-2916
21-43-15.155054,-2924
21-43-15.210519,-2832
21-43-15.265958,-2568
21-43-15.321401,-2740
21-43-15.376836,-2704
21-43-15.432307,-2696
21-43-15.487847,-2804
21-43-15.543300,-2880
21-43-15.598750,-2764
21-43-15.654221,-2812
