timestamp,acceleration
21-46-17.670207,-2736
21-46-17.725838,-2604
21-46-17.781586,-2712
21-46-17.837288,-2724
21-46-17.892808,-2652
21-46-17.948375,-2924
21-46-18.003993,-2808
21-46-18.059495,-2884
21-46-18.114982,-2712
21-46-18.170440,-2912
21-46-18.225934,-2696
21-46-18.281385,-2564
21-46-18.336816,-2572
21-46-18.392247,-2456
21-46-18.447672,-2796
21-46-18.503091,-2732
21-46-18.558537,-2696
21-46-18.613959,-2852
21-46-18.669380,-2780
21-46-18.724796,-2776
21-46-18.780357,-2988
21-46-18.836158,-2656
21-46-18.891699,-2796
21-46-18.947152,-2600
21-46-19.002577,-2752
21-46-19.058003,-2744
21-46-19.113426,-3040
21-46-19.168850,-2796
21-46-19.224276,-2800
21-46-19.279697,-2696
21-46-19.335236,-2704
21-46-19.390725,-2652
21-46-19.446178,-2716
21-46-19.501688,-2808
21-46-19.557093,-2704
21-46-19.612549,-2708
21-46-19.668008,-2656
