timestamp,acceleration
21-32-59.986480,-3656
21-33-00.042079,-3760
21-33-00.097683,-3480
21-33-00.153149,-3680
21-33-00.208569,-3612
21-33-00.263975,-3492
21-33-00.319401,-3728
21-33-00.374843,-3652
21-33-00.430248,-3416
21-33-00.485637,-3628
21-33-00.541059,-3608
21-33-00.596486,-3648
21-33-00.651884,-3492
21-33-00.707282,-3672
21-33-00.762677,-3780
21-33-00.818205,-3568
21-33-00.873962,-3644
21-33-00.929476,-3680
21-33-00.984931,-3520
21-33-01.040573,-3732
21-33-01.096075,-3612
21-33-01.151555,-3384
21-33-01.206990,-3780
21-33-01.262399,-3332
21-33-01.317829,-3680
21-33-01.373249,-3660
21-33-01.428700,-3688
21-33-01.484155,-3656
21-33-01.539629,-3376
21-33-01.595029,-3656
21-33-01.650447,-3544
21-33-01.705874,-3608
21-33-01.761286,-3664
21-33-01.816795,-3624
21-33-01.872334,-3596
21-33-01.927707,-3368
21-33-01.983098,-3640
