timestamp,acceleration
21-34-39.340870,-3656
21-34-39.396567,-3528
21-34-39.452186,-3460
21-34-39.507636,-3636
21-34-39.563102,-3732
21-34-39.618615,-3572
21-34-39.674121,-3672
21-34-39.729551,-3764
21-34-39.785126,-3632
21-34-39.841063,-3840
21-34-39.896837,-3748
21-34-39.952347,-3356
21-34-40.007787,-3688
21-34-40.063249,-3640
21-34-40.118680,-3532
21-34-40.174100,-3632
21-34-40.229513,-3612
21-34-40.284948,-3628
21-34-40.340364,-3408
21-34-40.395784,-3568
21-34-40.451195,-3704
21-34-40.506608,-3472
21-34-40.562020,-3652
21-34-40.617432,-3700
21-34-40.672857,-3600
21-34-40.728266,-3640
21-34-40.783744,-3388
21-34-40.839389,-3656
21-34-40.894875,-3536
21-34-40.950311,-3644
21-34-41.005804,-3668
21-34-41.061364,-3328
21-34-41.116795,-3776
21-34-41.172232,-3608
21-34-41.227725,-3840
21-34-41.283211,-3676
21-34-41.338639,-3696
