timestamp,acceleration
21-51-35.536434,-2628
21-51-35.591966,-2944
21-51-35.647500,-2584
21-51-35.702990,-2796
21-51-35.758372,-2732
21-51-35.813833,-2676
21-51-35.869475,-2628
21-51-35.924995,-2800
21-51-35.980366,-2980
21-51-36.035857,-2568
21-51-36.092374,-2744
21-51-36.147930,-2608
21-51-36.203365,-2880
21-51-36.258896,-2824
21-51-36.316937,-2816
21-51-36.372461,-2924
21-51-36.427792,-2928
21-51-36.483200,-2688
21-51-36.538621,-2724
21-51-36.594051,-2844
21-51-36.649466,-2792
21-51-36.704888,-2712
21-51-36.761966,-2676
21-51-36.817681,-3068
21-51-36.873234,-2764
21-51-36.928801,-2664
21-51-36.984288,-3004
21-51-37.039776,-2744
21-51-37.095225,-2776
21-51-37.150653,-2960
21-51-37.206110,-2436
21-51-37.261616,-2856
21-51-37.317240,-2784
21-51-37.372791,-2924
21-51-37.428220,-2884
21-51-37.484632,-2520
