timestamp,acceleration
21-49-07.402899,-2780
21-49-07.458528,-2944
21-49-07.514197,-2804
21-49-07.569661,-2808
21-49-07.625106,-2596
21-49-07.680588,-2536
21-49-07.736099,-2972
21-49-07.791636,-2868
21-49-07.847236,-2536
21-49-07.902824,-2876
21-49-07.958387,-2728
21-49-08.013917,-2592
21-49-08.069439,-2972
21-49-08.124965,-2332
21-49-08.180563,-2576
21-49-08.236113,-2840
21-49-08.291682,-2964
21-49-08.347105,-2536
21-49-08.402568,-2680
21-49-08.458136,-2852
21-49-08.513682,-2820
21-49-08.569231,-2468
21-49-08.624689,-2764
21-49-08.680251,-2860
21-49-08.735801,-2636
21-49-08.791381,-2916
21-49-08.847087,-2784
21-49-08.902731,-2672
21-49-08.958294,-2836
21-49-09.013858,-2716
21-49-09.069263,-2880
21-49-09.124706,-2756
21-49-09.180155,-2948
21-49-09.235588,-2712
21-49-09.291101,-2772
21-49-09.346743,-2728
21-49-09.402397,-2736
