timestamp,acceleration
21-44-20.135134,-3056
21-44-20.190867,-2624
21-44-20.246416,-2792
21-44-20.301882,-2752
21-44-20.357352,-2648
21-44-20.412826,-2836
21-44-20.468359,-3000
21-44-20.523836,-2784
21-44-20.579394,-2564
21-44-20.634891,-2816
21-44-20.690353,-2812
21-44-20.746012,-2732
21-44-20.802016,-2900
21-44-20.857505,-2704
21-44-20.912996,-2672
21-44-20.968373,-2960
21-44-21.023860,-3076
21-44-21.079347,-2476
21-44-21.134847,-2744
21-44-21.190332,-2860
21-44-21.245797,-2876
21-44-21.301314,-2408
21-44-21.356812,-2764
21-44-21.412242,-2768
21-44-21.467679,-2720
21-44-21.523177,-2728
21-44-21.578671,-2736
21-44-21.634131,-2892
21-44-21.689602,-2764
21-44-21.745063,-2716
21-44-21.800573,-2720
21-44-21.856175,-2652
21-44-21.911740,-2824
21-44-21.967214,-2828
21-44-22.022653,-2740
21-44-22.078128,-2652
21-44-22.133569,-2724
