timestamp,acceleration
21-44-18.130412,-2856
21-44-18.185979,-2760
21-44-18.241499,-2692
21-44-18.297124,-2796
21-44-18.352549,-2712
21-44-18.407986,-2684
21-44-18.463380,-2760
21-44-18.518846,-2740
21-44-18.574315,-2676
21-44-18.629922,-2792
21-44-18.685356,-2736
21-44-18.740806,-2736
21-44-18.796263,-2876
21-44-18.851827,-2620
21-44-18.911654,-2788
21-44-18.967244,-2884
21-44-19.022781,-2828
21-44-19.078262,-2536
21-44-19.133831,-2780
21-44-19.189269,-2788
21-44-19.244711,-2600
21-44-19.300145,-2676
21-44-19.356068,-2916
21-44-19.411694,-2920
21-44-19.467233,-2832
21-44-19.522969,-2772
21-44-19.578473,-2784
21-44-19.633843,-2388
21-44-19.689470,-2480
21-44-19.745074,-2712
21-44-19.800604,-2764
21-44-19.856212,-2936
21-44-19.911669,-2712
21-44-19.967114,-3072
21-44-20.022601,-2732
21-44-20.078030,-2648
