timestamp,acceleration
21-36-08.573374,-128
21-36-08.628966,1192
21-36-08.684523,1228
21-36-08.739961,1964
21-36-08.795412,580
21-36-08.851044,1520
21-36-08.906506,-856
21-36-08.961962,2256
21-36-09.017452,1448
21-36-09.072884,-8
21-36-09.128372,2604
21-36-09.183963,1088
21-36-09.239425,-7636
21-36-09.294906,1848
21-36-09.350330,904
21-36-09.405751,944
21-36-09.461172,1320
21-36-09.516614,3496
21-36-09.572062,80
21-36-09.627485,3584
21-36-09.682897,2088
21-36-09.738307,1220
21-36-09.793772,3440
21-36-09.849725,608
21-36-09.905442,1672
21-36-09.960967,1920
21-36-10.016348,1840
21-36-10.071758,1480
21-36-10.127208,1848
21-36-10.182662,2880
21-36-10.238094,804
21-36-10.293520,2192
21-36-10.348936,1852
21-36-10.404355,1748
21-36-10.459773,2192
21-36-10.515178,2452
21-36-10.570586,1624
