timestamp,acceleration
21-30-22.086090,-3460
21-30-22.141412,-3464
21-30-22.196689,-3672
21-30-22.251864,-3496
21-30-22.306988,-3360
21-30-22.362098,-3620
21-30-22.417206,-3616
21-30-22.472310,-3624
21-30-22.527421,-3616
21-30-22.582553,-3716
21-30-22.637671,-3720
21-30-22.692808,-3684
21-30-22.747984,-3460
21-30-22.803294,-3716
21-30-22.858790,-3588
21-30-22.914214,-3632
21-30-22.969476,-3836
21-30-23.024726,-3596
21-30-23.079896,-3640
21-30-23.135013,-3580
21-30-23.190134,-3580
21-30-23.245262,-3612
21-30-23.300381,-3340
21-30-23.355492,-3492
21-30-23.410614,-3332
21-30-23.465791,-3688
21-30-23.520981,-3488
21-30-23.576098,-3540
21-30-23.631214,-3572
21-30-23.686327,-3564
21-30-23.741433,-3516
21-30-23.796657,-3644
21-30-23.852160,-3672
21-30-23.907566,-3840
21-30-23.962815,-3500
21-30-24.017970,-3760
21-30-24.073086,-3596
