timestamp,acceleration
21-46-48.493942,-2768
21-46-48.549549,-2888
21-46-48.605142,-2820
21-46-48.660587,-2612
21-46-48.716068,-2660
21-46-48.771799,-2752
21-46-48.827704,-2572
21-46-48.883201,-2660
21-46-48.938650,-2848
21-46-48.994084,-2696
21-46-49.049522,-2564
21-46-49.104966,-2824
21-46-49.160390,-2932
21-46-49.215849,-2804
21-46-49.271265,-2740
21-46-49.326679,-2780
21-46-49.382093,-2668
21-46-49.437515,-2672
21-46-49.492934,-2972
21-46-49.548359,-2820
21-46-49.603776,-2652
21-46-49.659185,-2720
21-46-49.714597,-2588
21-46-49.770044,-2956
21-46-49.825667,-2764
21-46-49.881346,-2772
21-46-49.937071,-2600
21-46-49.992676,-2696
21-46-50.048094,-2324
21-46-50.103563,-2732
21-46-50.159040,-2584
21-46-50.214475,-2760
21-46-50.269891,-2912
21-46-50.325311,-2888
21-46-50.380730,-2692
21-46-50.436152,-2724
21-46-50.491569,-2732
