timestamp,acceleration
21-36-56.939888,-2712
21-36-56.995538,-2400
21-36-57.051185,-2808
21-36-57.106650,-2752
21-36-57.162137,-2616
21-36-57.217659,-2536
21-36-57.273331,-2332
21-36-57.328789,-2616
21-36-57.384275,-2680
21-36-57.439714,-2516
21-36-57.495182,-2640
21-36-57.550641,-2664
21-36-57.606120,-2672
21-36-57.661586,-2796
21-36-57.717023,-2528
21-36-57.772651,-2320
21-36-57.828415,-2320
21-36-57.883981,-2580
21-36-57.939550,-2456
21-36-57.994970,-2672
21-36-58.050409,-2800
21-36-58.105882,-2676
21-36-58.161332,-2600
21-36-58.216776,-2700
21-36-58.272246,-2688
21-36-58.327689,-2516
21-36-58.383129,-2668
21-36-58.438564,-2612
21-36-58.494003,-2484
21-36-58.549435,-2652
21-36-58.604896,-2768
21-36-58.660353,-2668
21-36-58.715792,-2660
21-36-58.772952,-2452
21-36-58.828752,-2724
21-36-58.884273,-2632
