timestamp,acceleration
21-56-14.066270,-2860
21-56-14.121841,-2780
21-56-14.177307,-2904
21-56-14.232735,-2768
21-56-14.288150,-2784
21-56-14.343568,-2956
21-56-14.398979,-2576
21-56-14.454391,-2768
21-56-14.509814,-2728
21-56-14.565240,-2572
21-56-14.620826,-2836
21-56-14.676421,-2472
21-56-14.731928,-2748
21-56-14.787501,-2804
21-56-14.843111,-2312
21-56-14.898578,-2656
21-56-14.953926,-2820
21-56-15.009324,-2828
21-56-15.064739,-2796
21-56-15.120176,-2580
21-56-15.175607,-2944
21-56-15.231035,-2824
21-56-15.286461,-2792
21-56-15.341871,-2932
21-56-15.397284,-2644
21-56-15.452734,-2740
21-56-15.508144,-2672
21-56-15.563576,-2712
21-56-15.619051,-2884
21-56-15.674472,-2692
21-56-15.729892,-2828
21-56-15.785482,-2688
21-56-15.843620,-2672
21-56-15.899362,-2684
21-56-15.954872,-2916
21-56-16.010309,-2920
21-56-16.065791,-2596
