timestamp,acceleration
21-45-01.666663,-2820
21-45-01.722379,-2748
21-45-01.777944,-2700
21-45-01.833737,-2704
21-45-01.889307,-2780
21-45-01.944708,-2688
21-45-02.000134,-2748
21-45-02.055573,-2644
21-45-02.111000,-2664
21-45-02.166439,-2756
21-45-02.221886,-2704
21-45-02.277318,-2564
21-45-02.332738,-2600
21-45-02.388169,-2780
21-45-02.443630,-2804
21-45-02.499096,-2792
21-45-02.554527,-2812
21-45-02.609966,-2820
21-45-02.665392,-2784
21-45-02.720829,-2824
21-45-02.776358,-2692
21-45-02.832036,-2728
21-45-02.887524,-2424
21-45-02.943058,-2668
21-45-02.998529,-2760
21-45-03.053989,-2828
21-45-03.109463,-2704
21-45-03.164910,-2756
21-45-03.220369,-2692
21-45-03.275859,-2652
21-45-03.331342,-2700
21-45-03.386802,-2632
21-45-03.442258,-2852
21-45-03.497756,-2804
21-45-03.553174,-2584
21-45-03.608592,-2676
21-45-03.664066,-2628
