timestamp,acceleration
21-40-53.684506,-2692
21-40-53.740083,-2572
21-40-53.795597,-2728
21-40-53.851266,-2912
21-40-53.906708,-2720
21-40-53.962162,-2728
21-40-54.017612,-2812
21-40-54.073073,-2716
21-40-54.128500,-2908
21-40-54.183935,-2748
21-40-54.239359,-2744
21-40-54.294840,-2800
21-40-54.350292,-2720
21-40-54.405733,-2852
21-40-54.461157,-2460
21-40-54.516578,-2808
21-40-54.572005,-2672
21-40-54.627428,-2516
21-40-54.682906,-2780
21-40-54.738329,-2608
21-40-54.793805,-2716
21-40-54.849349,-2960
21-40-54.904833,-2708
21-40-54.960275,-2676
21-40-55.015699,-2804
21-40-55.071121,-2716
21-40-55.126533,-2624
21-40-55.181943,-2768
21-40-55.237363,-2676
21-40-55.292797,-2752
21-40-55.348208,-2704
21-40-55.403665,-2928
21-40-55.459168,-2660
21-40-55.514592,-2868
21-40-55.570022,-2584
21-40-55.625464,-2712
21-40-55.680960,-2656
