timestamp,acceleration
21-47-55.826161,-2740
21-47-55.881815,-2676
21-47-55.937456,-2660
21-47-55.993575,-2708
21-47-56.049235,-2724
21-47-56.104907,-2860
21-47-56.160561,-2556
21-47-56.216024,-2828
21-47-56.271547,-2736
21-47-56.327077,-2740
21-47-56.382684,-2700
21-47-56.438159,-2452
21-47-56.493601,-2608
21-47-56.549049,-2776
21-47-56.604485,-2684
21-47-56.660104,-2672
21-47-56.715735,-2676
21-47-56.771432,-2608
21-47-56.827411,-2928
21-47-56.882991,-2788
21-47-56.938519,-2572
21-47-56.993991,-2720
21-47-57.049463,-2788
21-47-57.104872,-2780
21-47-57.160309,-2696
21-47-57.215726,-2732
21-47-57.271176,-2868
21-47-57.326673,-2728
21-47-57.382091,-2852
21-47-57.437495,-2644
21-47-57.492904,-2712
21-47-57.548355,-2940
21-47-57.603834,-2716
21-47-57.659248,-2780
21-47-57.714649,-2792
21-47-57.770185,-2812
