timestamp,acceleration
21-35-56.247862,-3368
21-35-56.303500,-3364
21-35-56.359123,-3708
21-35-56.414566,-3808
21-35-56.470009,-3436
21-35-56.525437,-3312
21-35-56.580899,-3404
21-35-56.636366,-3776
21-35-56.691829,-3352
21-35-56.747247,-3476
21-35-56.802668,-3508
21-35-56.858232,-3524
21-35-56.913790,-3452
21-35-56.969269,-3420
21-35-57.024738,-3400
21-35-57.080196,-3524
21-35-57.135782,-3392
21-35-57.191441,-3420
21-35-57.246974,-3496
21-35-57.302407,-3640
21-35-57.357831,-3744
21-35-57.413253,-3528
21-35-57.468675,-3496
21-35-57.524127,-3472
21-35-57.579591,-3520
21-35-57.635041,-5108
21-35-57.690524,-3780
21-35-57.745948,-6840
21-35-57.801422,-4388
21-35-57.857130,-3548
21-35-57.912793,-3036
21-35-57.968347,-3136
21-35-58.023813,3320
21-35-58.079284,-5068
21-35-58.134742,-2988
21-35-58.190216,-3960
21-35-58.245668,-3680
