timestamp,acceleration
21-30-26.175950,-3704
21-30-26.231523,-3596
21-30-26.287043,-3600
21-30-26.342443,-3536
21-30-26.397928,-3552
21-30-26.453439,-4088
21-30-26.508932,-3544
21-30-26.564371,-3520
21-30-26.619825,-3596
21-30-26.675372,-3348
21-30-26.730838,-3544
21-30-26.786347,-3488
21-30-26.842091,-3756
21-30-26.897708,-3728
21-30-26.953207,-3520
21-30-27.008657,-3388
21-30-27.064081,-3648
21-30-27.119533,-3416
21-30-27.174988,-3508
21-30-27.230383,-3536
21-30-27.285765,-3612
21-30-27.341152,-3760
21-30-27.396552,-3436
21-30-27.451971,-3600
21-30-27.507360,-3652
21-30-27.562783,-3692
21-30-27.618168,-3420
21-30-27.673550,-3116
21-30-27.728950,-3648
21-30-27.784423,-3640
21-30-27.841881,-3660
21-30-27.897666,-3748
21-30-27.953434,-3780
21-30-28.009098,-3548
21-30-28.064697,-3724
21-30-28.120270,-3572
