timestamp,acceleration
21-34-45.502982,-3716
21-34-45.558577,-3808
21-34-45.614181,-3588
21-34-45.669631,-3672
21-34-45.725077,-3584
21-34-45.780585,-3596
21-34-45.836499,-3668
21-34-45.892111,-3636
21-34-45.947705,-3528
21-34-46.003156,-3776
21-34-46.058611,-3608
21-34-46.114105,-3824
21-34-46.169540,-3580
21-34-46.224974,-3652
21-34-46.280425,-3648
21-34-46.335860,-3332
21-34-46.391273,-3740
21-34-46.446689,-3508
21-34-46.502102,-3384
21-34-46.557521,-3712
21-34-46.612942,-3728
21-34-46.668365,-3796
21-34-46.723781,-3612
21-34-46.779291,-3564
21-34-46.835031,-3828
21-34-46.890496,-3592
21-34-46.945888,-3740
21-34-47.001296,-3604
21-34-47.056824,-3720
21-34-47.112478,-3644
21-34-47.167983,-3520
21-34-47.223490,-3624
21-34-47.279071,-3608
21-34-47.334542,-3556
21-34-47.390003,-3660
21-34-47.445541,-3560
21-34-47.501096,-3392
