timestamp,acceleration
21-36-06.519558,904
21-36-06.575164,1936
21-36-06.630775,-604
21-36-06.686224,1168
21-36-06.741662,-220
21-36-06.797124,2092
21-36-06.852716,1652
21-36-06.908184,1900
21-36-06.963643,1048
21-36-07.019087,1660
21-36-07.074539,1000
21-36-07.130008,332
21-36-07.185467,44
21-36-07.240904,532
21-36-07.296370,1392
21-36-07.351849,-112
21-36-07.407391,1356
21-36-07.462910,1840
21-36-07.518340,324
21-36-07.573789,1140
21-36-07.629280,3676
21-36-07.684716,-468
21-36-07.740175,968
21-36-07.795622,1076
21-36-07.851201,552
21-36-07.906708,1148
21-36-07.962175,232
21-36-08.017695,784
21-36-08.073121,2416
21-36-08.128537,-3496
21-36-08.183972,2196
21-36-08.239400,884
21-36-08.294868,1644
21-36-08.350321,128
21-36-08.405786,552
21-36-08.461254,1912
21-36-08.516709,2268
