timestamp,acceleration
21-42-02.929968,-2776
21-42-02.985533,-2600
21-42-03.041140,-2732
21-42-03.096593,-2832
21-42-03.152040,-2668
21-42-03.207494,-2980
21-42-03.262970,-2948
21-42-03.318388,-2916
21-42-03.373813,-2748
21-42-03.429250,-2700
21-42-03.484793,-2764
21-42-03.540241,-2768
21-42-03.595690,-2772
21-42-03.651215,-2684
21-42-03.706629,-2660
21-42-03.762048,-2848
21-42-03.817482,-2704
21-42-03.873078,-2848
21-42-03.928599,-2816
21-42-03.983973,-2620
21-42-04.039406,-2748
21-42-04.094907,-2760
21-42-04.150340,-2580
21-42-04.205758,-2720
21-42-04.261186,-2716
21-42-04.316601,-2772
21-42-04.372046,-2396
21-42-04.427546,-2776
21-42-04.482974,-2736
21-42-04.538389,-2680
21-42-04.593828,-2776
21-42-04.649268,-2800
21-42-04.704744,-2776
21-42-04.760182,-2780
21-42-04.815658,-2656
21-42-04.871198,-2812
21-42-04.926660,-2640
