timestamp,acceleration
21-51-00.819802,-2704
21-51-00.875271,-2792
21-51-00.930736,-2664
21-51-00.986328,-2924
21-51-01.041823,-2672
21-51-01.097414,-2644
21-51-01.153281,-2628
21-51-01.208879,-2824
21-51-01.264297,-2704
21-51-01.319702,-2756
21-51-01.375143,-2716
21-51-01.430689,-2876
21-51-01.486182,-2620
21-51-01.541629,-2748
21-51-01.597056,-2868
21-51-01.652474,-2640
21-51-01.707933,-2744
21-51-01.763373,-2936
21-51-01.820953,-2644
21-51-01.876554,-2756
21-51-01.932026,-2764
21-51-01.987402,-3064
21-51-02.042886,-2624
21-51-02.098380,-2800
21-51-02.153816,-2792
21-51-02.209252,-2736
21-51-02.264791,-2756
21-51-02.320361,-2680
21-51-02.375796,-2644
21-51-02.431220,-2784
21-51-02.486633,-2356
21-51-02.542013,-2684
21-51-02.597528,-2744
21-51-02.652971,-2724
21-51-02.708401,-2776
21-51-02.763826,-2588
21-51-02.820073,-2604
