timestamp,acceleration
21-34-20.953565,-3552
21-34-21.009238,-3544
21-34-21.064885,-3584
21-34-21.120374,-3576
21-34-21.175882,-3692
21-34-21.231317,-3640
21-34-21.286762,-3704
21-34-21.342197,-3608
21-34-21.397650,-3568
21-34-21.453095,-3544
21-34-21.508549,-3496
21-34-21.564006,-3684
21-34-21.619435,-3772
21-34-21.674912,-3572
21-34-21.730341,-3500
21-34-21.785854,-3772
21-34-21.843859,-3608
21-34-21.899810,-3632
21-34-21.955346,-3608
21-34-22.010772,-3584
21-34-22.066218,-3628
21-34-22.121668,-3600
21-34-22.177123,-3332
21-34-22.232558,-3704
21-34-22.287993,-3608
21-34-22.343422,-3636
21-34-22.398895,-3664
21-34-22.454327,-3648
21-34-22.509749,-3680
21-34-22.565168,-3456
21-34-22.620591,-3636
21-34-22.676007,-3640
21-34-22.731415,-3340
21-34-22.787026,-3636
21-34-22.842598,-3528
21-34-22.898070,-3540
