timestamp,acceleration
21-40-10.601482,-2656
21-40-10.657101,-2716
21-40-10.712797,-2684
21-40-10.768382,-2672
21-40-10.823998,-2692
21-40-10.879528,-2740
21-40-10.935078,-2728
21-40-10.990541,-2644
21-40-11.045990,-2724
21-40-11.101428,-2824
21-40-11.157210,-2712
21-40-11.212837,-2660
21-40-11.268356,-2768
21-40-11.323814,-2724
21-40-11.379259,-2636
21-40-11.434800,-2816
21-40-11.490350,-2692
21-40-11.545782,-2764
21-40-11.601317,-2736
21-40-11.656906,-2636
21-40-11.712539,-2856
21-40-11.768186,-2672
21-40-11.823867,-2672
21-40-11.879401,-2820
21-40-11.934926,-2984
21-40-11.990358,-2772
21-40-12.045868,-3004
21-40-12.101298,-2616
21-40-12.156736,-2716
21-40-12.212203,-2552
21-40-12.267838,-2400
21-40-12.323297,-2628
21-40-12.378718,-2716
21-40-12.434146,-2816
21-40-12.489568,-2732
21-40-12.545007,-2672
21-40-12.600431,-2840
