timestamp,acceleration
21-49-19.615528,-3016
21-49-19.671159,-2652
21-49-19.726770,-2604
21-49-19.782249,-2700
21-49-19.837970,-2648
21-49-19.893499,-2704
21-49-19.948895,-2788
21-49-20.004271,-2744
21-49-20.059711,-3056
21-49-20.115146,-2684
21-49-20.170580,-2568
21-49-20.226024,-2796
21-49-20.281446,-2776
21-49-20.336872,-2796
21-49-20.392292,-2628
21-49-20.448018,-2876
21-49-20.503708,-2692
21-49-20.559395,-2844
21-49-20.614807,-2696
21-49-20.670211,-2980
21-49-20.725663,-2748
21-49-20.781238,-2340
21-49-20.836982,-2748
21-49-20.892545,-2752
21-49-20.948013,-2816
21-49-21.003487,-2864
21-49-21.058918,-2796
21-49-21.114358,-2772
21-49-21.169848,-2684
21-49-21.225455,-2656
21-49-21.280873,-2828
21-49-21.336287,-2676
21-49-21.391726,-2732
21-49-21.447152,-2776
21-49-21.502569,-2808
21-49-21.557990,-2748
21-49-21.613400,-2652
