timestamp,acceleration
21-52-31.238147,-2892
21-52-31.293703,-2692
21-52-31.349157,-3024
21-52-31.404575,-2780
21-52-31.459987,-2788
21-52-31.515417,-2676
21-52-31.570963,-2724
21-52-31.626371,-2800
21-52-31.681783,-2728
21-52-31.737221,-2788
21-52-31.792794,-2804
21-52-31.848558,-2748
21-52-31.904114,-2408
21-52-31.959622,-3044
21-52-32.015128,-2776
21-52-32.070496,-2884
21-52-32.125932,-3064
21-52-32.181396,-2608
21-52-32.236817,-2584
21-52-32.292226,-2720
21-52-32.347642,-2728
21-52-32.403048,-2580
21-52-32.458483,-2744
21-52-32.513925,-2788
21-52-32.569351,-2724
21-52-32.624792,-2804
21-52-32.680206,-2608
21-52-32.735613,-2744
21-52-32.791101,-2860
21-52-32.846824,-2704
21-52-32.902373,-2736
21-52-32.957806,-2780
21-52-33.013369,-2652
21-52-33.068902,-2716
21-52-33.124498,-2660
21-52-33.179925,-2644
21-52-33.235342,-2984
