timestamp,acceleration
17-15-39.928469,-3108
17-15-39.984450,-2848
17-15-40.040224,-2976
17-15-40.096130,-2964
17-15-40.152079,-2836
17-15-40.207934,-2808
17-15-40.263805,-3028
17-15-40.319652,-2996
17-15-40.375526,-3024
17-15-40.431371,-2940
17-15-40.487274,-2868
17-15-40.543093,-2912
17-15-40.598958,-2964
17-15-40.654826,-2864
17-15-40.710687,-2860
17-15-40.766524,-3008
17-15-40.822384,-2880
17-15-40.878215,-2972
17-15-40.934071,-2980
17-15-40.989915,-2836
17-15-41.045820,-2852
17-15-41.101564,-2884
17-15-41.157390,-2968
17-15-41.213212,-2900
17-15-41.269047,-3024
17-15-41.324878,-2964
17-15-41.380751,-2816
17-15-41.436580,-2876
17-15-41.492424,-2916
17-15-41.548245,-2824
17-15-41.604025,-2972
17-15-41.659838,-2928
17-15-41.715673,-2904
17-15-41.771489,-2768
17-15-41.827325,-3072
17-15-41.883142,-2916
