timestamp,acceleration
21-39-00.570464,-2680
21-39-00.626123,-2800
21-39-00.681754,-2708
21-39-00.737229,-2592
21-39-00.792666,-2688
21-39-00.848198,-2788
21-39-00.903720,-2756
21-39-00.959196,-2600
21-39-01.014708,-2744
21-39-01.070345,-2744
21-39-01.125896,-2704
21-39-01.181344,-2836
21-39-01.236801,-2848
21-39-01.292240,-2640
21-39-01.347757,-2656
21-39-01.403369,-2680
21-39-01.458872,-2604
21-39-01.514327,-2636
21-39-01.569764,-2692
21-39-01.625196,-2780
21-39-01.680634,-2888
21-39-01.736073,-2716
21-39-01.791554,-2792
21-39-01.847099,-2876
21-39-01.902570,-2736
21-39-01.958012,-2708
21-39-02.013463,-2352
21-39-02.068899,-2828
21-39-02.124379,-2744
21-39-02.179844,-2684
21-39-02.235270,-2668
21-39-02.290693,-2716
21-39-02.346125,-2616
21-39-02.401594,-2696
21-39-02.457015,-2852
21-39-02.512438,-2732
21-39-02.567863,-2752
