timestamp,acceleration
21-34-27.062430,-3488
21-34-27.118007,-3616
21-34-27.173522,-3344
21-34-27.229105,-3620
21-34-27.284552,-3572
21-34-27.339993,-3708
21-34-27.395489,-3588
21-34-27.450991,-3508
21-34-27.506452,-3616
21-34-27.561946,-3604
21-34-27.617426,-3368
21-34-27.672869,-3720
21-34-27.728301,-3332
21-34-27.783805,-3508
21-34-27.842407,-3636
21-34-27.898039,-3788
21-34-27.953539,-3592
21-34-28.008987,-3596
21-34-28.064457,-3804
21-34-28.119916,-3524
21-34-28.175367,-3608
21-34-28.230831,-3668
21-34-28.286277,-3564
21-34-28.341700,-3652
21-34-28.397119,-3656
21-34-28.452543,-3640
21-34-28.507988,-3512
21-34-28.563491,-3372
21-34-28.618940,-3624
21-34-28.674370,-3628
21-34-28.729786,-3516
21-34-28.785360,-3732
21-34-28.841004,-3648
21-34-28.896497,-3496
21-34-28.951972,-3540
21-34-29.007495,-3696
