timestamp,acceleration
21-52-16.926544,-2632
21-52-16.981769,-2916
21-52-17.036938,-2876
21-52-17.092137,-2728
21-52-17.147257,-2644
21-52-17.202377,-3032
21-52-17.257572,-2836
21-52-17.312845,-2752
21-52-17.368031,-2860
21-52-17.423244,-2676
21-52-17.478425,-2720
21-52-17.533694,-3040
21-52-17.588885,-2832
21-52-17.644011,-2768
21-52-17.699131,-2756
21-52-17.754251,-2716
21-52-17.809406,-2948
21-52-17.864667,-2716
21-52-17.919816,-2760
21-52-17.974940,-2824
21-52-18.030088,-2736
21-52-18.085272,-2676
21-52-18.140395,-2872
21-52-18.195516,-2580
21-52-18.250635,-2380
21-52-18.305757,-2720
21-52-18.360950,-2872
21-52-18.416193,-2720
21-52-18.471320,-2792
21-52-18.526441,-2728
21-52-18.581559,-3020
21-52-18.636685,-3060
21-52-18.691921,-2744
21-52-18.747190,-2616
21-52-18.802431,-2860
21-52-18.857692,-2920
21-52-18.912843,-2696
