timestamp,acceleration
17-15-49.975997,-2868
17-15-50.031809,-2904
17-15-50.087550,-2888
17-15-50.143266,-2936
17-15-50.198975,-2964
17-15-50.254658,-2956
17-15-50.310361,-2880
17-15-50.366047,-2832
17-15-50.421759,-2912
17-15-50.477446,-2944
17-15-50.533142,-2988
17-15-50.588830,-3324
17-15-50.644531,-2848
17-15-50.700213,-3040
17-15-50.755915,-2924
17-15-50.811594,-2892
17-15-50.867268,-2888
17-15-50.922947,-2920
17-15-50.978653,-2928
17-15-51.034437,-2984
17-15-51.090145,-2972
17-15-51.145821,-3044
17-15-51.201521,-2912
17-15-51.257194,-3008
17-15-51.312887,-2928
17-15-51.368617,-3020
17-15-51.424312,-2916
17-15-51.479961,-3276
17-15-51.535627,-3052
17-15-51.591301,-2836
17-15-51.647001,-2984
17-15-51.702677,-2988
17-15-51.758374,-3028
17-15-51.814053,-2960
17-15-51.869730,-3092
17-15-51.925401,-3064
