timestamp,acceleration
21-33-38.957853,-3760
21-33-39.013502,-3336
21-33-39.069123,-3496
21-33-39.124592,-3588
21-33-39.180050,-3592
21-33-39.235500,-3476
21-33-39.290960,-3344
21-33-39.346442,-3652
21-33-39.401968,-3820
21-33-39.457416,-3584
21-33-39.512931,-3544
21-33-39.568507,-3616
21-33-39.623976,-3724
21-33-39.679419,-3604
21-33-39.734914,-3760
21-33-39.790424,-3648
21-33-39.846126,-3760
21-33-39.901718,-3344
21-33-39.957245,-3472
21-33-40.012724,-3424
21-33-40.068178,-3596
21-33-40.123635,-3708
21-33-40.179079,-3564
21-33-40.234517,-3788
21-33-40.289963,-3788
21-33-40.345404,-3624
21-33-40.400844,-3564
21-33-40.456293,-3420
21-33-40.511754,-3736
21-33-40.567207,-3508
21-33-40.622684,-3688
21-33-40.678126,-3544
21-33-40.733563,-3600
21-33-40.789089,-3640
21-33-40.844796,-3556
21-33-40.900319,-3360
21-33-40.955862,-3584
