timestamp,acceleration
17-15-41.940263,-2964
17-15-41.996227,-2952
17-15-42.052118,-2772
17-15-42.107936,-2980
17-15-42.163772,-2884
17-15-42.219582,-2788
17-15-42.275415,-3000
17-15-42.331220,-3060
17-15-42.387054,-2960
17-15-42.442858,-2916
17-15-42.498687,-3312
17-15-42.554490,-3060
17-15-42.610159,-2876
17-15-42.665995,-3020
17-15-42.721823,-2976
17-15-42.777621,-2996
17-15-42.833464,-2988
17-15-42.889298,-2920
17-15-42.945152,-3064
17-15-43.001065,-2932
17-15-43.056899,-2968
17-15-43.112649,-2972
17-15-43.168460,-2944
17-15-43.224244,-2992
17-15-43.280045,-2996
17-15-43.335825,-2840
17-15-43.391632,-2976
17-15-43.447414,-2916
17-15-43.503218,-2972
17-15-43.559002,-2872
17-15-43.614770,-2820
17-15-43.670547,-2816
17-15-43.726367,-2996
17-15-43.782141,-2908
17-15-43.837931,-2928
17-15-43.893703,-2928
