timestamp,acceleration
21-44-14.022463,-3040
21-44-14.078011,-2748
21-44-14.133516,-2996
21-44-14.189123,-2728
21-44-14.244560,-2688
21-44-14.300004,-2688
21-44-14.355434,-2812
21-44-14.410945,-2720
21-44-14.466355,-2744
21-44-14.521766,-2328
21-44-14.577163,-2696
21-44-14.632574,-2596
21-44-14.688016,-2700
21-44-14.743513,-2796
21-44-14.798982,-2772
21-44-14.854562,-2924
21-44-14.910030,-2772
21-44-14.965479,-2668
21-44-15.020898,-3032
21-44-15.076308,-2760
21-44-15.131708,-2656
21-44-15.187105,-2756
21-44-15.242538,-2684
21-44-15.297945,-2664
21-44-15.353359,-2848
21-44-15.408796,-2572
21-44-15.464255,-2636
21-44-15.519737,-2728
21-44-15.575146,-3016
21-44-15.630578,-2724
21-44-15.686043,-2552
21-44-15.741472,-2712
21-44-15.796879,-2828
21-44-15.852492,-2688
21-44-15.908167,-3064
21-44-15.963596,-2804
21-44-16.018995,-2704
