timestamp,acceleration
21-40-14.658486,-2584
21-40-14.714115,-2684
21-40-14.769771,-2568
21-40-14.825494,-2688
21-40-14.880984,-2568
21-40-14.936472,-2772
21-40-14.991927,-2772
21-40-15.047423,-2764
21-40-15.102873,-2708
21-40-15.158324,-2696
21-40-15.213772,-2724
21-40-15.269233,-2636
21-40-15.324710,-2568
21-40-15.380133,-2728
21-40-15.435568,-2420
21-40-15.491035,-2824
21-40-15.546463,-2804
21-40-15.601942,-2760
21-40-15.657465,-2864
21-40-15.712909,-2608
21-40-15.768426,-2792
21-40-15.824077,-2680
21-40-15.879671,-2772
21-40-15.935217,-2692
21-40-15.990643,-2692
21-40-16.046118,-2900
21-40-16.101583,-2656
21-40-16.157021,-2636
21-40-16.212444,-2752
21-40-16.267993,-2768
21-40-16.323496,-2684
21-40-16.379065,-2576
21-40-16.434541,-2784
21-40-16.489986,-3000
21-40-16.545442,-2632
21-40-16.600901,-2660
21-40-16.656386,-2548
