timestamp,acceleration
21-39-16.951266,-2792
21-39-17.006915,-2400
21-39-17.062453,-2844
21-39-17.118065,-2720
21-39-17.173532,-2636
21-39-17.229008,-2784
21-39-17.284455,-2840
21-39-17.339937,-2680
21-39-17.395440,-2628
21-39-17.451120,-2792
21-39-17.506568,-2624
21-39-17.562059,-2608
21-39-17.617534,-2692
21-39-17.673003,-2996
21-39-17.728454,-2656
21-39-17.783982,-2804
21-39-17.839729,-2672
21-39-17.895175,-2672
21-39-17.950603,-2816
21-39-18.006113,-2576
21-39-18.061651,-2700
21-39-18.117104,-2668
21-39-18.172561,-2780
21-39-18.228022,-2668
21-39-18.283489,-2788
21-39-18.339037,-2628
21-39-18.394568,-2688
21-39-18.450039,-2596
21-39-18.505498,-2836
21-39-18.560955,-2792
21-39-18.616401,-2572
21-39-18.671848,-2748
21-39-18.727293,-2584
21-39-18.782815,-2660
21-39-18.838568,-2700
21-39-18.894107,-2704
21-39-18.949587,-2768
