timestamp,acceleration
21-43-03.435834,-2852
21-43-03.491378,-2964
21-43-03.546914,-2700
21-43-03.602440,-2936
21-43-03.657896,-2692
21-43-03.713392,-2664
21-43-03.768834,-2884
21-43-03.824437,-2752
21-43-03.879958,-2724
21-43-03.935441,-2600
21-43-03.990873,-2788
21-43-04.046321,-2372
21-43-04.101838,-2812
21-43-04.157306,-2816
21-43-04.212733,-2716
21-43-04.268141,-2764
21-43-04.323569,-2596
21-43-04.378964,-2668
21-43-04.434436,-2592
21-43-04.489922,-2896
21-43-04.545335,-2748
21-43-04.600712,-3072
21-43-04.656122,-2740
21-43-04.711550,-2632
21-43-04.767035,-2596
21-43-04.822695,-2708
21-43-04.878292,-2744
21-43-04.933742,-2820
21-43-04.989145,-2796
21-43-05.044544,-2640
21-43-05.099943,-2856
21-43-05.155341,-2676
21-43-05.210737,-2632
21-43-05.266129,-2680
21-43-05.321554,-2668
21-43-05.376966,-2888
21-43-05.432396,-2968
