timestamp,acceleration
17-15-29.852503,-3068
17-15-29.908296,-2872
17-15-29.964012,-2948
17-15-30.019722,-3000
17-15-30.075424,-2912
17-15-30.131091,-2944
17-15-30.186820,-3016
17-15-30.242492,-2976
17-15-30.298174,-3068
17-15-30.353943,-3056
17-15-30.409654,-2820
17-15-30.465311,-2888
17-15-30.521016,-2944
17-15-30.576674,-2720
17-15-30.632346,-2912
17-15-30.687999,-2868
17-15-30.743679,-3100
17-15-30.799335,-2928
17-15-30.855013,-2932
17-15-30.910665,-2872
17-15-30.966384,-3036
17-15-31.022102,-2724
17-15-31.077819,-2960
17-15-31.133493,-2872
17-15-31.189180,-2984
17-15-31.244847,-3084
17-15-31.300530,-2944
17-15-31.356207,-2992
17-15-31.411960,-3060
17-15-31.467723,-2800
17-15-31.523410,-2964
17-15-31.579069,-2968
17-15-31.634748,-3032
17-15-31.690512,-3008
17-15-31.746194,-2924
17-15-31.801850,-2760
