timestamp,acceleration
17-15-31.858846,-2792
17-15-31.914635,-2952
17-15-31.970379,-2916
17-15-32.026135,-2868
17-15-32.082369,-2868
17-15-32.138575,-2900
17-15-32.194832,-2808
17-15-32.251037,-2904
17-15-32.307287,-3108
17-15-32.363072,-2748
17-15-32.419294,-2892
17-15-32.475488,-2936
17-15-32.531700,-2976
17-15-32.587893,-2988
17-15-32.644132,-2984
17-15-32.700367,-2956
17-15-32.756584,-3024
17-15-32.812591,-2972
17-15-32.868817,-2872
17-15-32.925012,-2912
17-15-32.981167,-2584
17-15-33.037026,-2948
17-15-33.093209,-2964
17-15-33.149340,-2872
17-15-33.205493,-2956
17-15-33.261621,-2836
17-15-33.317769,-2920
17-15-33.373866,-2876
17-15-33.430047,-2956
17-15-33.486177,-3024
17-15-33.542321,-2956
17-15-33.598447,-2928
17-15-33.654596,-2972
17-15-33.710722,-2952
17-15-33.766869,-2752
17-15-33.822994,-2992
