timestamp,acceleration
17-15-37.915435,-2904
17-15-37.971397,-2840
17-15-38.027289,-3012
17-15-38.083225,-2836
17-15-38.139164,-3000
17-15-38.195070,-3012
17-15-38.250997,-2612
17-15-38.306903,-2920
17-15-38.362834,-2892
17-15-38.418744,-2948
17-15-38.474672,-3032
17-15-38.530486,-2956
17-15-38.586404,-2828
17-15-38.642295,-3060
17-15-38.698210,-3016
17-15-38.754106,-2944
17-15-38.810019,-2820
17-15-38.865915,-2928
17-15-38.921835,-2860
17-15-38.977667,-2976
17-15-39.033515,-3028
17-15-39.089273,-2888
17-15-39.145175,-3020
17-15-39.201002,-3052
17-15-39.256901,-3016
17-15-39.312803,-2980
17-15-39.368692,-3056
17-15-39.424559,-2916
17-15-39.480449,-2904
17-15-39.536194,-3080
17-15-39.592061,-2856
17-15-39.647925,-2996
17-15-39.703810,-2772
17-15-39.759670,-2928
17-15-39.815557,-2972
17-15-39.871421,-2880
