timestamp,acceleration
17-15-47.969121,-3048
17-15-48.024949,-2916
17-15-48.080738,3060
17-15-48.136438,-2924
17-15-48.192159,-2852
17-15-48.247858,3048
17-15-48.303580,-2880
17-15-48.359283,-2892
17-15-48.414994,-2944
17-15-48.470657,-2908
17-15-48.526381,-2896
17-15-48.582082,-2860
17-15-48.637803,-3092
17-15-48.693529,3048
17-15-48.749224,-3048
17-15-48.804922,3216
17-15-48.860644,-3004
17-15-48.916340,2944
17-15-48.972063,-2932
17-15-49.027765,3052
17-15-49.083476,-2952
17-15-49.139164,2904
17-15-49.194876,-2812
17-15-49.250566,2956
17-15-49.306277,-3256
17-15-49.361964,2804
17-15-49.417668,-3056
17-15-49.473388,2584
17-15-49.529168,-2988
17-15-49.584863,2948
17-15-49.640606,-3064
17-15-49.696295,2872
17-15-49.752005,-2988
17-15-49.807716,3000
17-15-49.863405,-2900
17-15-49.919094,2896
