timestamp,acceleration
17-15-27.846137,-2596
17-15-27.901994,2948
17-15-27.957702,2844
17-15-28.013482,-2968
17-15-28.069285,-2992
17-15-28.125107,-2988
17-15-28.180807,-2752
17-15-28.236470,-2940
17-15-28.292184,-2824
17-15-28.347857,-2868
17-15-28.403555,-2964
17-15-28.459219,-2892
17-15-28.514908,-3092
17-15-28.570574,-2876
17-15-28.626263,-3036
17-15-28.681920,-2904
17-15-28.737600,-2920
17-15-28.793257,-2804
17-15-28.848937,-2872
17-15-28.904636,-2584
17-15-28.960322,-2984
17-15-29.016024,-2984
17-15-29.071722,-2688
17-15-29.127390,-2844
17-15-29.183080,-2996
17-15-29.238748,-2980
17-15-29.294449,-3024
17-15-29.350110,-2932
17-15-29.405786,-2968
17-15-29.461535,-2896
17-15-29.517218,-2840
17-15-29.572877,-2856
17-15-29.628616,-2968
17-15-29.684268,-2912
17-15-29.739948,-3124
17-15-29.795605,-2920
