timestamp,acceleration
17-15-43.950713,-2976
17-15-44.006618,-3264
17-15-44.062558,-3076
17-15-44.118374,-2920
17-15-44.174174,-3052
17-15-44.229942,-2980
17-15-44.287608,-2864
17-15-44.343474,-2976
17-15-44.399320,-2900
17-15-44.455058,-2880
17-15-44.510889,-2932
17-15-44.566638,-2912
17-15-44.622440,-2936
17-15-44.678192,-2940
17-15-44.733987,-2916
17-15-44.789729,-3068
17-15-44.845608,-3212
17-15-44.901360,-2936
17-15-44.957110,-2884
17-15-45.012867,-3148
17-15-45.068660,-2872
17-15-45.124389,-3064
17-15-45.180169,-2968
17-15-45.235896,-2976
17-15-45.291643,-2992
17-15-45.347371,-3068
17-15-45.403070,-2880
17-15-45.458823,-2944
17-15-45.514577,-2976
17-15-45.570304,-2864
17-15-45.626058,-2916
17-15-45.681787,-2988
17-15-45.737546,-3020
17-15-45.793274,-2828
17-15-45.849030,-2924
17-15-45.904756,-2968
